MAX TEMPERATURE (Theoretical: )
Seed	Climate at origin	Max climate
1837360067	1.8099	NULL
8801310188	1.8064	NULL
18410272056	1.8592	NULL
23009209394	1.8350	NULL
26967831999	1.8468	NULL
27138651525	1.8132	NULL
33917400991	1.8299	NULL
43342456110	1.8189	NULL
49457935106	1.8363	NULL
49743195946	1.8063	NULL
54534697097	1.8273	NULL
60139659200	1.9010	1.9438
77727871082	1.8107	NULL
80451997144	1.8056	NULL
85366328921	1.8640	NULL
94379264441	1.8125	NULL
95598624972	1.8069	NULL
97755922835	1.8294	NULL
101611920458	1.8267	NULL
101924023555	1.8419	NULL
110546880051	1.8893	NULL
120340107114	1.8146	NULL
124081761676	1.8374	NULL
129810214519	1.8132	NULL
133450497509	1.9181	NULL
143457778857	1.8700	NULL
155037348405	1.8219	NULL
155616679250	1.8629	NULL
168635960458	1.8935	NULL
172336655225	1.8360	NULL
174018859232	1.8310	NULL
220183173691	1.8419	NULL
230999671477	1.8188	NULL
237332666550	1.8203	NULL
245283663102	1.8041	NULL
254599114479	1.8026	NULL
265697898875	1.8630	NULL
284945866343	1.8352	NULL
289180036629	1.8156	NULL
300899459779	1.8310	NULL
300991835744	1.8099	NULL
309511695552	1.8069	NULL
314778700772	1.8340	NULL
329189998685	1.8150	NULL
329314577360	1.8070	NULL
330130284920	1.9036	NULL
339338112564	1.8457	NULL
4611686020318826820	1.8093	1.8157
4611686024055892134	1.8253	1.8820
4611686030791779977	1.8793	1.9002
4611686030869444142	1.8084	NULL
4611686032837179118	1.8861	NULL
4611686033070255383	1.8391	NULL
4611686035084075443	1.8240	NULL
4611686036065828007	1.8007	NULL
4611686038121614403	1.8040	NULL
4611686048520321579	1.8442	1.8982
4611686049746628598	1.8360	NULL
4611686051400603344	1.8202	NULL
4611686058284397383	1.8322	NULL
4611686061380322759	1.8145	1.9708	(-150, -670)
4611686066142296578	1.8064	NULL
4611686070084173067	1.8687	NULL
4611686071376101271	1.9002	1.9140
4611686075552951175	1.8061	NULL
4611686083379386094	1.8223	NULL
4611686086112532592	1.8624	NULL
4611686087759330379	1.8194	NULL
4611686090181320163	1.8118	NULL
4611686091258023741	1.8751	NULL
4611686091379187360	1.8086	NULL
4611686091615327324	1.8161	NULL
4611686092705755982	1.8551	NULL
4611686103706629592	1.8219	NULL
4611686110091410021	1.8266	NULL
4611686112292690417	1.8105	NULL
4611686118848888019	1.8242	NULL
4611686119142648927	1.8196	NULL
4611686130876734724	1.8336	NULL
